Street                          House                                    Population
Street 0                        House 0                                       11
Street 0                        House 1                                       92
Street 0                        House 2                                       23
Street 0                        House 3                                       92
Street 0                        House 4                                       97
Street 0                        House 5                                       48
Street 0                        House 6                                      100
Street 0                        House 7                                       41
Street 0                        House 8                                       43
Street 0                        House 9                                       17
Street 0                       House 10                                       25
Street 0                       House 11                                       71
Street 0                       House 12                                       26
Street 0                       House 13                                       41
Street 1                        House 0                                       17
Street 1                        House 1                                       88
Street 1                        House 2                                       53
Street 1                        House 3                                       76
Street 1                        House 4                                        8
Street 1                        House 5                                       99
Street 1                        House 6                                       14
Street 1                        House 7                                       37
Street 1                        House 8                                      100
Street 1                        House 9                                       82
Street 1                       House 10                                       43
Street 1                       House 11                                       60
Street 1                       House 12                                       79
Street 1                       House 13                                       37
Street 1                       House 14                                        7
Street 1                       House 15                                       67
Street 1                       House 16                                       53
Street 1                       House 17                                       95
Street 2                        House 0                                        7
Street 2                        House 1                                       68
Street 2                        House 2                                       32
Street 2                        House 3                                       81
Street 2                        House 4                                       28
Street 2                        House 5                                        7
Street 2                        House 6                                       23
Street 2                        House 7                                       14
Street 2                        House 8                                       42
Street 2                        House 9                                       38
Street 2                       House 10                                       89
Street 2                       House 11                                        5
Street 2                       House 12                                       49
Street 3                        House 0                                       53
Street 3                        House 1                                        9
Street 3                        House 2                                       62
Street 3                        House 3                                        9
Street 3                        House 4                                       77
Street 3                        House 5                                       99
Street 3                        House 6                                       13
Street 3                        House 7                                       52
Street 4                        House 0                                       24
Street 4                        House 1                                       11
Street 4                        House 2                                        4
Street 4                        House 3                                        9
Street 4                        House 4                                       39
Street 4                        House 5                                       54
Street 4                        House 6                                        4
Street 5                        House 0                                       27
Street 5                        House 1                                       49
Street 5                        House 2                                        6
Street 5                        House 3                                       73
Street 5                        House 4                                       70
Street 5                        House 5                                       76
Street 5                        House 6                                       53
Street 5                        House 7                                       88
Street 5                        House 8                                      100
Street 5                        House 9                                        7
Street 5                       House 10                                       31
Street 5                       House 11                                       52
Street 5                       House 12                                       10
Street 5                       House 13                                        6
Street 5                       House 14                                       53
Street 5                       House 15                                       91
Street 5                       House 16                                       10
Street 5                       House 17                                       30
Street 5                       House 18                                       10
Street 5                       House 19                                       75
Street 6                        House 0                                       37
Street 6                        House 1                                       97
Street 6                        House 2                                       20
Street 6                        House 3                                       33
Street 6                        House 4                                       61
Street 6                        House 5                                       75
Street 6                        House 6                                       13
Street 6                        House 7                                       94
Street 6                        House 8                                        1
Street 6                        House 9                                       37
Street 7                        House 0                                       78
Street 7                        House 1                                        5
Street 7                        House 2                                       99
Street 7                        House 3                                       13
Street 7                        House 4                                       47
Street 7                        House 5                                       55
Street 7                        House 6                                       31
Street 7                        House 7                                       38
Street 8                        House 0                                       95
Street 8                        House 1                                       95
Street 8                        House 2                                       23
Street 8                        House 3                                      100
Street 8                        House 4                                       80
Street 8                        House 5                                       83
Street 8                        House 6                                       91
Street 8                        House 7                                       55
Street 8                        House 8                                       24
Street 8                        House 9                                       91
Street 8                       House 10                                       65
Street 8                       House 11                                       92
Street 8                       House 12                                       27
Street 8                       House 13                                        8
Street 9                        House 0                                       69
Street 9                        House 1                                       31
Street 9                        House 2                                       80
Street 9                        House 3                                       87
Street 9                        House 4                                       55
Street 9                        House 5                                       65
Street 9                        House 6                                       49
Street 9                        House 7                                       75
Street 9                        House 8                                       19
Street 9                        House 9                                       28
Street 9                       House 10                                       77
